numero,articulo,epigrafe,libro,titulo,capitulo,seccion,tema,cubierto,entradas_catalogo,nombres_catalogo,texto_primeros_200
371,Art. 371 CP,Apropiación y retención indebidas,Libro II,Título XX,Capítulo VI,,delitos,NO,0,,"Se deben imponer las penas establecidas los artículos 365 o 366 del presente Código, al que teniendo bajo su poder o custodia una cosa mueble, dinero o un valor ajeno, por un título que produzca la ob"
372,Art. 372 CP,Apropiación irregular,Libro II,Título XX,Capítulo VI,,delitos,NO,0,,"Debe ser castigado con pena de multa de cincuenta (50) a doscientos (200) días, quien ejecute alguna de las conductas siguientes:  1) Quien, con ánimo de lucro, se apropia de cosa ajena perdida o sin "
373,Art. 373 CP,Extorsión,Libro II,Título XX,Capítulo VII,,delitos,NO,0,,"Comete el delito de extorsión, quien con violencia, amenazas o intimidación y ánimo de lucro, haciendo uso de cualquier medio, obliga o trata de obligar a otro a realizar u omitir un acto, servicio o "
374,Art. 374 CP,Agravantes específicas,Libro II,Título XX,Capítulo VII,,delitos,SI,3,Usura; Especulación; Usura agravada,Las penas del artículo anterior se incrementarán en un tercio (1/3) al concurrir alguna de las siguientes circunstancias:  1) Si el culpable es miembro de un grupo delictivo organizado o se ejecuta el
375,Art. 375 CP,Atenuantes específicas,Libro II,Título XX,Capítulo VII,,delitos,NO,0,,"Las penas previstas en los artículos anteriores, excepto la de prisión a perpetuidad, deben reducirse en un tercio (1/3) si concurre alguna de las circunstancias siguientes:  1) Confesión de las activ"
376,Art. 376 CP,Punición de actos preparatorios,Libro II,Título XX,Capítulo VII,,delitos,SI,13,Lavado de activos; Apropiación indebida; Blanqueo de capitales; Blanqueo por imprudencia; Apropiación indebida de bienes culturales...,"La conspiración, proposición o provocación para la comisión del delito de extorsión debe ser castigada con la pena de prisión de uno (1) a tres (3) años, a no ser que esté castigado con mayor pena en "
377,Art. 377 CP,Reincidencia internacional,Libro II,Título XX,Capítulo VII,,delitos,SI,1,Apropiación de cosas perdidas,"La condena de un Órgano Jurisdiccional extranjero por delitos de la misma naturaleza que los previstos en este capítulo, produce los efectos de la reincidencia, salvo que los antecedentes penales haya"
378,Art. 378 CP,Usurpación,Libro II,Título XX,Capítulo VIII,,delitos,NO,0,,"Comete el delito de usurpación, y será sancionado con reclusión de cuatro (4) a seis (6) años, quien desarrolle cualquiera de las conductas siguientes:  1. Ocupa o se apodere de todo o parte de un inm"
379,Art. 379 CP,Alteración de términos o límites,Libro II,Título XX,Capítulo VIII,,delitos,SI,6,Hurto; Hurto simple; Hurto de uso de vehículo; Hurto famélico; Hurto con abuso de confianza...,"Quien, para apoderarse de un inmueble o parte de él, altera los términos, límites o cualquier otra señal destinada a fijar los límites de propiedades contiguas, debe ser castigado con la pena de prisi"
380,Art. 380 CP,Usurpación de aguas,Libro II,Título XX,Capítulo VIII,,delitos,SI,2,Hurto agravado; Hurto en lugar habitado,"Quien sin estar autorizado desvía de su curso aguas de uso público o privado o un embalse natural o artificial, debe ser castigado con la pena de prisión de uno (1) a tres (3) años.  Con la misma pena"
381,Art. 381 CP,Daños,Libro II,Título XX,Capítulo IX,,delitos,NO,0,,"Quien destruye, deteriora, inutiliza o causa daños a cosa ajena, no comprendidos en otras disposiciones del presente Código, debe ser castigado con las penas de prisión de seis (6) meses a dos (2) año"
382,Art. 382 CP,Daños agravados,Libro II,Título XX,Capítulo IX,,delitos,SI,4,Robo; Usurpación; Robo simple; Usurpación de inmueble,"Las penas del artículo anterior se deben aumentar en un tercio (1/3) en las circunstancias siguientes:  1) El daño se causa mediante infección, contagio de animales o plantas, sin perjuicio de las pen"
383,Art. 383 CP,Daños a infraestructuras o equipamientos,Libro II,Título XX,Capítulo IX,,delitos,SI,8,Robo agravado; Robo con homicidio; Robo en casa habitada; Robo con escalamiento; Robo con fractura...,"Quien destruye, deteriore, inutilice o dañe edificios, establecimientos, instalaciones, embarcaciones, aeronaves, vehículos u otros recursos similares, militares, policiales o de cuerpos de seguridad "
384,Art. 384 CP,Daños imprudentes,Libro II,Título XX,Capítulo IX,,delitos,NO,0,,"Los daños causados por imprudencia grave cuya cuantía excede de Quinientos Mil Lempiras (L.500,000), deben ser castigados con multa de cien (100) a trescientos sesenta (360) días o con pena de prestac"
385,Art. 385 CP,Perdón del ofendido,Libro II,Título XX,Capítulo IX,,delitos,NO,0,,"La acción penal por los delitos previstos en este capítulo se extingue, excepto en el supuesto contemplado en el Artículo 382 del presente Código, por el perdón del ofendido o de su representante lega"
386,Art. 386 CP,Usura,Libro II,Título XX,Capítulo X,,delitos,NO,0,,"Se entiende usurario el préstamo en el que se estipula un interés notoriamente desproporcionado conforme al establecido en el Sistema Financiero Nacional y las circunstancias del caso, habiendo motivo"
387,Art. 387 CP,Loterías y juegos no autorizados,Libro II,Título XX,Capítulo XI,,delitos,NO,0,,"Los productores o expendedores de billetes de loterías tradicionales o electrónicas y quienes efectúen rifas, sorteos y demás juegos de azar no concesionados o autorizados legalmente, deben ser castig"
388,Art. 388 CP,Exención de responsabilidad,Libro II,Título XX,Capítulo XII,,delitos,SI,8,Daños; Daños simples; Daños informáticos; Daños por imprudencia; Daños en archivos informáticos...,"PENAL. Están exentos de responsabilidad penal y sujetos únicamente a la civil por los delitos patrimoniales que se causaren entre sí, las personas siguientes:  1) Los cónyuges o quienes mantengan una "
389,Art. 389 CP,Delitos contra el derecho de autor y los derechos conexos,Libro II,Título XXI,Capítulo I,,delitos,SI,2,Daños agravados; Daños informáticos agravados,"Quien con ánimo de lucro, en perjuicio de tercero y sin autorización de los titulares de los correspondientes derechos de autor y conexos o de sus cesionarios, reproduce, distribuye, comunica públicam"
390,Art. 390 CP,Agravantes específicas,Libro II,Título XXI,Capítulo I,,delitos,NO,0,,"Debe ser castigado con las penas de prisión de cuatro (4) a seis (6) años, multa por una cantidad igual al doble o hasta el triple del beneficio obtenido o pretendido e inhabilitación especial para el"
