articulo,epigrafe,libro,titulo,capitulo
Art. 454 CP,Tráfico de sellos y otros efectos timbrados falsos,Libro II,Título XXVI,Capítulo II
Art. 455 CP,Agravantes específicas,Libro II,Título XXVI,Capítulo II
Art. 456 CP,Falsificación de documentos públicos y mercantiles,Libro II,Título XXVI,Capítulo III
Art. 457 CP,Responsabilidad de ministros religiosos,Libro II,Título XXVI,Capítulo III
Art. 458 CP,Responsabilidad de funcionario o empleado público,Libro II,Título XXVI,Capítulo III
Art. 460 CP,Tráfico de documentos de identidad falsos,Libro II,Título XXVI,Capítulo III
Art. 464 CP,Tráfico de tarjetas bancarias o cheques de viaje falsos,Libro II,Título XXVI,Capítulo III
Art. 465 CP,Tenencia de tarjetas bancarias o cheques de viaje falsos para su puesta en circulación,Libro II,Título XXVI,Capítulo III
Art. 468 CP,Agravantes específicas,Libro II,Título XXVI,Capítulo III
Art. 470 CP,Usurpación de la personalidad de otro,Libro II,Título XXVI,Capítulo IV
Art. 471 CP,Usurpación de funciones públicas,Libro II,Título XXVI,Capítulo IV
Art. 472 CP,Intrusismo profesional,Libro II,Título XXVI,Capítulo IV
Art. 473 CP,"Uso indebido de uniforme, insignias y equipo policial o militar",Libro II,Título XXVI,Capítulo IV
Art. 474 CP,Malversación por apropiación,Libro II,Título XXVII,Capítulo I
Art. 475 CP,Malversación por uso,Libro II,Título XXVII,Capítulo I
Art. 476 CP,Malversación por aplicación oficial diferente,Libro II,Título XXVII,Capítulo I
Art. 477 CP,Administración desleal del patrimonio público,Libro II,Título XXVII,Capítulo I
Art. 478 CP,Agravantes específicas,Libro II,Título XXVII,Capítulo I
Art. 479 CP,Atenuantes específicas,Libro II,Título XXVII,Capítulo I
Art. 483 CP,Exacciones ilegales,Libro II,Título XXVII,Capítulo II
Art. 485 CP,Negociaciones incompatibles de funcionario o empleado público,Libro II,Título XXVII,Capítulo IV
Art. 487 CP,Asesoramiento ilegal,Libro II,Título XXVII,Capítulo IV
Art. 488 CP,Uso de información privilegiada,Libro II,Título XXVII,Capítulo IV
Art. 490 CP,Tráfico de influencias cometido por funcionario público,Libro II,Título XXVII,Capítulo V
Art. 493 CP,Cohecho impropio,Libro II,Título XXVII,Capítulo VI
Art. 494 CP,Cohecho posterior al acto,Libro II,Título XXVII,Capítulo VI
Art. 496 CP,Cohecho cometido por particular,Libro II,Título XXVII,Capítulo VI
Art. 501 CP,"Sustracción, destrucción, ocultación o inutilización de documento en custodia",Libro II,Título XXVII,Capítulo IX
Art. 507 CP,Usurpación de funciones y simulación de cargo por particular,Libro II,Título XXVII,Capítulo X
Art. 508 CP,Agravantes específicas,Libro II,Título XXVII,Capítulo XI
Art. 509 CP,Punición de actos preparatorios,Libro II,Título XXVII,Capítulo XI
Art. 511 CP,Responsabilidad de las personas jurídicas,Libro II,Título XXVII,Capítulo XI
Art. 512 CP,Reincidencia internacional,Libro II,Título XXVII,Capítulo XI
Art. 516 CP,Prevaricato judicial,Libro II,Título XXVIII,Capítulo II
Art. 517 CP,Denegación de justicia,Libro II,Título XXVIII,Capítulo II
Art. 518 CP,Realización arbitraria del propio derecho,Libro II,Título XXVIII,Capítulo II
Art. 523 CP,Coacción judicial,Libro II,Título XXVIII,Capítulo III
Art. 524 CP,Cohecho a sujetos procesales,Libro II,Título XXVIII,Capítulo III
Art. 525 CP,Desobediencia a mandato fiscal o judicial,Libro II,Título XXVIII,Capítulo III
Art. 526 CP,Quebrantamiento de condena o medida,Libro II,Título XXVIII,Capítulo III
Art. 527 CP,Favorecimiento de la evasión,Libro II,Título XXVIII,Capítulo III
Art. 528 CP,Falsa denuncia o acusación,Libro II,Título XXVIII,Capítulo IV
Art. 529 CP,Simulación de infracción inexistente,Libro II,Título XXVIII,Capítulo IV
Art. 531 CP,Delitos contra la administración de justicia de la Corte Penal Internacional,Libro II,Título XXVIII,Capítulo V
Art. 532 CP,Rebelión,Libro II,Título XXIX,Capítulo I
Art. 533 CP,Punición de actos preparatorios,Libro II,Título XXIX,Capítulo I
Art. 534 CP,Infracción del deber de resistencia,Libro II,Título XXIX,Capítulo I
Art. 535 CP,Sedición,Libro II,Título XXIX,Capítulo I
Art. 536 CP,Punición de actos preparatorios,Libro II,Título XXIX,Capítulo I
Art. 537 CP,Disposiciones comunes,Libro II,Título XXIX,Capítulo I
Art. 538 CP,Ultraje a los símbolos nacionales,Libro II,Título XXIX,Capítulo II
Art. 539 CP,"Muerte, lesiones o secuestro del Presidente de la República",Libro II,Título XXIX,Capítulo III
Art. 540 CP,Punición de actos preparatorios,Libro II,Título XXIX,Capítulo III
Art. 541 CP,Perturbación ilícita del funcionamiento de las instituciones,Libro II,Título XXIX,Capítulo III
Art. 542 CP,Coacción y amenaza electoral,Libro II,Título XXIX,Capítulo IV
Art. 543 CP,Falsificación de documentos electorales,Libro II,Título XXIX,Capítulo IV
Art. 544 CP,Otros delitos electorales,Libro II,Título XXIX,Capítulo IV
Art. 545 CP,Pena adicional a los extranjeros,Libro II,Título XXIX,Capítulo IV
Art. 546 CP,Suplantación de identidad hondureña para ejercer sufragio,Libro II,Título XXIX,Capítulo IV
Art. 547 CP,Destrucción de propaganda,Libro II,Título XXIX,Capítulo IV
Art. 548 CP,Limitación o Impedimento de determinados derechos fundamentales,Libro II,Título XXIX,Capítulo V
Art. 549 CP,Impedimento del ejercicio de otros derechos reconocidos en la Constitución,Libro II,Título XXIX,Capítulo V
Art. 550 CP,Obstaculización del ejercicio de la libertad religiosa y sus manifestaciones,Libro II,Título XXIX,Capítulo V
Art. 551 CP,Ofensas a los sentimientos religiosos,Libro II,Título XXIX,Capítulo V
Art. 552 CP,Violación de sepulturas y profanación de cadáveres,Libro II,Título XXIX,Capítulo V
Art. 555 CP,Traición a la patria,Libro II,Título XXX,Capítulo I
Art. 556 CP,Inducción a actos de agresión contra la nación,Libro II,Título XXX,Capítulo I
Art. 557 CP,Ataque a señales fronterizas,Libro II,Título XXX,Capítulo I
Art. 558 CP,Levantamiento ilegal de planos de fortificaciones u otras obras,Libro II,Título XXX,Capítulo I
Art. 559 CP,Declaratoria ilegal de guerra o de paz,Libro II,Título XXX,Capítulo I
Art. 560 CP,Delitos que comprometen la neutralidad,Libro II,Título XXX,Capítulo I
Art. 561 CP,Punición de actos preparatorios,Libro II,Título XXX,Capítulo I
Art. 562 CP,Pena de pérdida de la ciudadanía y nacionalidad,Libro II,Título XXX,Capítulo I
Art. 563 CP,Espionaje,Libro II,Título XXX,Capítulo II
Art. 564 CP,Incitación a la guerra o a la represalia,Libro II,Título XXX,Capítulo III
Art. 565 CP,"Reclutamiento de tropas, utilización del territorio nacional y reclutamiento de mercenarios",Libro II,Título XXX,Capítulo III
Art. 566 CP,"Violación de tregua o pacto, salvoconducto o tratado",Libro II,Título XXX,Capítulo III
Art. 567 CP,Incumplimiento de contratos relativos a la seguridad de la Nación,Libro II,Título XXX,Capítulo III
Art. 568 CP,Sabotaje,Libro II,Título XXX,Capítulo III
Art. 574 CP,Perturbación del orden,Libro II,Título XXXI,Capítulo II
Art. 575 CP,Disparo de arma de fuego,Libro II,Título XXXI,Capítulo II
Art. 576 CP,Impedimento de tránsito a equipos de socorro o a centros de asistencia,Libro II,Título XXXI,Capítulo II
Art. 577 CP,Abuso de llamadas de emergencia,Libro II,Título XXXI,Capítulo II
Art. 578 CP,Construcción o facilitación de pistas de aterrizaje,Libro II,Título XXXI,Capítulo II
Art. 579 CP,Introducción de objetos prohibidos,Libro II,Título XXXI,Capítulo II
Art. 584 CP,Agravantes específicas,Libro II,Título XXXI,Capítulo III
Art. 585 CP,Atenuantes específicas,Libro II,Título XXXI,Capítulo III
Art. 586 CP,Penas privativas de derechos,Libro II,Título XXXI,Capítulo IV
Art. 587 CP,Asociación terrorista,Libro II,Título XXXII,Capítulo IV
Art. 588 CP,Colaboración sin pertenencia a la asociación terrorista,Libro II,Título XXXII,Capítulo IV
Art. 589 CP,Delitos de terrorismo en particular,Libro II,Título XXXII,Capítulo IV
Art. 590 CP,Atenuantes específicas,Libro II,Título XXXII,Capítulo IV
Art. 591 CP,Asistencia a campos de entrenamiento,Libro II,Título XXXII,Capítulo IV
Art. 592 CP,Ciberterrorismo o terrorismo electrónico,Libro II,Título XXXII,Capítulo IV
Art. 593 CP,Punición de actos preparatorios,Libro II,Título XXXII,Capítulo IV
Art. 594 CP,Penas privativas de derechos,Libro II,Título XXXII,Capítulo IV
Art. 595 CP,Reincidencia internacional,Libro II,Título XXXII,Capítulo IV
Art. 596 CP,Responsabilidad de las personas jurídicas,Libro II,Título XXXII,Capítulo IV
